CUI;Denumire Firma;Tribunal;Dosar;Tip Procedura;Data Publicare;Administrator Judiciar;In DB
;Societatea BEL ROM ELEVEN SRL;Tribunalul București Secția a VII;;;02.12.2024;;NU
21620960;B-dul Ion Ionescu de la Bra;Tribunalul București Secția a VII;23259/3/2017;Închidere procedură;27.11.2024;;NU
21620960;nu a formulat contestaţie sa;Tribunalul București;23259/3/2017;Insolvență;23.10.2024;;NU
;SC Carp Discount Shop SRL;Tribunalul București;36049/3/2022;Insolvență;16.09.2023;;NU
11648971;în dosa;Tribunalul București Secția a VII;44979/3/2017;;27.11.2024;;NU
;CNI CORESI SA;Tribunalul București;44979/3/2017;Deschidere procedură;09.10.2024;se menţionează;NU
;CNI CORESI SA;Tribunalul București;44979/3/2017;;23.10.2024;;NU
;CNI CORESI SA;Tribunalul București;44979/3/2017;Insolvență;06.11.2024;a adus la cunoştinţa contestatoarei ca a respins cererea de plata;NU
11648971;a depus note scrise prin care a invocat nulitatea absolută a Contra;Tribunalul București în;35276/3/2018;Insolvență;31.01.2014;cu privire la avizarea vreunuia;NU
